id,name,neighbourhood,neighbourhood_group,room_type,price,minimum_nights,number_of_reviews,review_scores_rating,availability_365,calculated_host_listings_count
1,Listing 1,De Pijp,De Pijp area,Entire home/apt,127.77,1,52,4.39,346,1
2,Listing 2,Centrum,Centrum area,Entire home/apt,194.04,1,119,4.34,258,7
3,Listing 3,Oud-West,Oud-West area,Entire home/apt,117.89,7,81,4.01,357,3
4,Listing 4,Oud-West,Oud-West area,Hotel room,139.72,1,172,4.07,52,6
5,Listing 5,Oost,Oost area,Private room,66.37,7,274,3.62,63,5
6,Listing 6,Slotervaart,Slotervaart area,Private room,25,2,185,4.56,295,1
7,Listing 7,Oud-West,Oud-West area,Private room,101.66,2,51,4.18,194,6
8,Listing 8,Jordaan,Jordaan area,Entire home/apt,156.35,2,107,4.55,343,2
9,Listing 9,Slotervaart,Slotervaart area,Private room,27.86,2,236,4.98,194,4
10,Listing 10,Oost,Oost area,Private room,51.81,1,28,4.71,117,7
11,Listing 11,Noord,Noord area,Entire home/apt,117.12,14,161,4.09,108,8
12,Listing 12,Jordaan,Jordaan area,Entire home/apt,146.56,2,126,4.62,287,7
13,Listing 13,Slotervaart,Slotervaart area,Entire home/apt,98.28,1,260,4.63,252,2
14,Listing 14,Jordaan,Jordaan area,Private room,148.04,1,216,4.08,305,8
15,Listing 15,Bos en Lommer,Bos en Lommer area,Entire home/apt,44.86,2,58,4.65,349,6
16,Listing 16,De Pijp,De Pijp area,Entire home/apt,114.31,1,80,4.93,232,5
17,Listing 17,Bos en Lommer,Bos en Lommer area,Private room,35.52,2,152,3.73,327,3
18,Listing 18,Bos en Lommer,Bos en Lommer area,Hotel room,71.54,3,271,4.23,0,2
19,Listing 19,Oost,Oost area,Private room,63.42,1,29,3.63,123,8
20,Listing 20,De Pijp,De Pijp area,Hotel room,89.06,1,272,4.49,64,3
21,Listing 21,Noord,Noord area,Entire home/apt,54.51,2,276,4.57,353,7
22,Listing 22,Oost,Oost area,Entire home/apt,77.94,1,264,3.87,231,2
23,Listing 23,Oost,Oost area,Entire home/apt,84.86,1,3,3.84,36,1
